saucer	茶托	[ˈsɔ:sə(r)] 
steak	牛排	 [steɪk]
teapot	茶壶	 [ˈti:pɒt] 
coaster	杯托，雪橇	[ˈkəʊstə(r)]
pad	垫	 [pæd] 
kitchen	厨房	[ˈkɪtʃɪn] 
mat	垫子	 [mæt] 
tissue	薄纸，组织	[ˈtɪʃu:]
grate	磨碎	 [greɪt] 
ketchup	番茄酱	[ˈketʃəp]
mustard	芥末	 [ˈmʌstəd]
pepper	胡椒	[ˈpepə(r)] 
mill	研磨	[mɪl]
soy	酱油	 [sɔɪ]
sauce	调味汁	 [sɔ:s] 
Christian	基督教徒	 [ˈkrɪstʃən] 
blanch	漂白	[blɑ:ntʃ] 
roast	烤	[rəʊst]
saute	炒	[ˈsəʊteɪ]
simmer	炖	 [ˈsɪmə(r)] 
steam	蒸	[sti:m]
stew	炖	[stju:]
colander	漏勺	 [ˈkʌləndə(r)] 
cleaver	剁肉刀	 [ˈkli:və(r)] 
skillet	煎锅	 [ˈskɪlɪt] 
grater	刨丝器	 [ˈgreɪtə(r)] 
ladle	长柄勺	[ˈleɪdl] 
spatula	铲	 [ˈspætʃələ] 
wok	炒菜锅	[wɒk]
aluminum	铝	 [ə'lju:minəm] 
foil	箔	[fɔɪl]
apron	围裙	[ˈeɪprən] 
mitt	棒球手套	 [mɪt] 
blender	搅拌机	[ˈblendə(r)] 
extractor	抽油烟机	[ɪkˈstræktə(r)]
hood	头巾	 [hʊd] 
air conditioner	空调设备	 [eə(r) kənˈdiʃənə] 
frost	结霜	 [frɒst] 
mildew	霉	[ˈmɪldju:] 
rot	腐烂	[rɒt] 
spoil	变质	[spɔɪl]
sterilize	消毒	 [ˈsterəlaɪz] 
compartment	隔间	[kəmˈpɑ:tmənt]
thermostat	恒温（调节）器	[ˈθɜ:məstæt]
cube	立方体	 [kju:b] 
condenser	冷凝器	[kənˈdensə(r)]
magnet	磁铁	[ˈmægnət] 
insulation	绝缘	 [ˌɪnsjuˈleɪʃn] 
justice	正义	[ˈdʒʌstɪs]
constitution	宪法，组成	[ˌkɒnstɪˈtju:ʃn] 
democrat	民主党人	[ˈdeməkræt]
republican	共和主义的	[rɪˈpʌblɪkən]
sovereignty	主权国家	[ˈsɒvrənti]
territory 	领土	 [ˈterətri] 
claim 	提出要求	 [kleɪm] 
colonization	殖民	 [ˌkɒlənaɪ'zeɪʃn]
bilateral	双边的	 [ˌbaɪˈlætərəl] 
prosperity	繁荣	[prɒˈsperəti]
mutual	共同的	[ˈmju:tʃuəl] 
military 	军事的	[ˈmɪlətri]
counterpart	副本	[ˈkaʊntəpɑ:t] 
House of Lords	上议院	
The house of Commons	下议院	
lord	上帝	 [lɔ:d]
wield	支配	 [wi:ld] 
cyber	计算机（网络）的	 ['saɪbə] 
dynamic 	动态的	 [daɪˈnæmɪk] 
static	静止的	[ˈstætɪk] 
precise	精确的	[prɪˈsaɪs] 
era	时代	[ˈɪərə]
trend	趋势	[trend] 
tend	倾向，照料	[tend]
sphere	围绕，范围	[sfɪə(r)]
estimate	估计	[ˈestɪmət]
climate	气候	 [ˈklaɪmət] 
eliminate	淘汰	 [ɪˈlɪmɪneɪt] 
dominant	占优势的	[ˈdɒmɪnənt] 
selves	自我	 [selvz]
slap 	拍击	[slæp] 
despite	尽管	[dɪˈspaɪt]
gasp	喘气	 [gɑ:sp]
bargain 	交易	[ˈbɑ:gən]
rampage	暴怒	[ˈræmpeɪdʒ] 
impotent	虚弱的	 [ˈɪmpətənt] 
salient	突出的	 [ˈseɪliənt] 
devious	不正直的	[ˈdi:viəs] 
ultimate	极限的	 [ˈʌltɪmət] 
bearing	轴承	 [ˈbeərɪŋ] 
discriminate	辨别;歧视	 [dɪˈskrɪmɪneɪt]  
indiscriminate	不加选择的	[ˌɪndɪsˈkrɪmɪnət] 
impromptu	临时的	[ɪmˈprɒmptju:] 
acumen	敏锐	[ˈækjəmən] 
mandate	授权	[ˈmændeɪt]
sabotage	蓄意破坏	 [ˈsæbətɑ:ʒ]
tumble	使跌倒	[ˈtʌmbl] 
humility 	谦逊	 [hju:ˈmɪləti]
assiduous	刻苦的	 [əˈsɪdjuəs] 
uplift	举起，振作	 [ˈʌplɪft] 
dum(b)found	使惊得发呆	[ˌdʌm'faʊnd] 
inveterate	成瘾的	 [ɪnˈvetərət]
accountable	可解释的	[əˈkaʊntəbl] 
trudge	吃力地走	 [trʌdʒ]
incendiary	纵火的	 [ɪnˈsendiəri]
ascribe 	认为…是由于	 [əˈskraɪb]
protrude	使突出	[prəˈtru:d]
conscience	良心	 [ˈkɒnʃəns] 
incubate	孵化	[ˈɪŋkjubeɪt]
wreckage	残骸	[ˈrekɪdʒ] 
recoup	偿还	[rɪˈku:p] 
acclaim 	称赞	[əˈkleɪm]
evoke	唤起	[ɪˈvəʊk] 
exemplify 	举例证明	 [ɪgˈzemplɪfaɪ] 
neurosis	神经衰弱症	 [njʊəˈrəʊsɪs]
fiddly	要求高精度的	[ˈfɪdli] 
acrimony	（言语、态度等的）尖刻	[ˈækrɪməni] 
adjudicate	判决	 [əˈdʒu:dɪkeɪt] 
flog	鞭打	 [flɒg] 
insular	孤立的	 [ˈɪnsjələ(r)] 
furtive 	鬼鬼祟祟的	 [ˈfɜ:tɪv] 
entwine	缠绕	 [ɪnˈtwaɪn] 
mediate	调停	 [ˈmi:dieɪt]
ease	减轻	[i:z] 
neurological	神经学的	 [ˌnjʊərəˈlɒdʒɪkl] 
auspicious	吉利的	[ɔ:ˈspɪʃəs] 
strangle	窒息而死	 [ˈstræŋgl] 
transmute	使变形，使变质	[trænzˈmju:t] 
withstand	承受	 [wɪðˈstænd]
incipient	开始的	 [ɪnˈsɪpiənt] 
traverse	横越	 [trəˈvɜ:s] 
henpecked	（男子）受妻子管制的	 [ˈhenpekt] 
inflict	承受	 [ɪnˈflɪkt]
complexion	气色	 [kəmˈplekʃn] 
deprecate	不赞成	 [ˈdeprəkeɪt]
naturalize	接收（外国人）入籍	[ˈnætʃrəlaɪz] 
muck	弄脏	 [mʌk] 
abreast	并排的	[əˈbrest]
prone 	有…倾向的	 [prəʊn] 
parole	假释	[pəˈrəʊl]
rouse	使振奋	 [raʊz]
jest	开玩笑	 [dʒest] 
afflict 	折磨	[əˈflɪkt] 
jeopardize	危及	[ˈdʒepədaɪz]
daunt	使（某人）气馁	 [dɔ:nt] 
pant	喘气	 [pænt] 
victimize	使受骗	 [ˈvɪktɪmaɪz] 
connote	暗示	 [kəˈnəʊt]
curtail	削减	[kɜ:ˈteɪl]
brash	易碎的，碎片	 [bræʃ] 
periphery	边缘	 [pəˈrɪfəri] 
gentility	彬彬有礼	[dʒenˈtɪləti]
negate	否定	[nɪˈgeɪt]
intersperse 	点缀	 [ˌɪntəˈspɜ:s]
nostalgia	怀旧	[nɒˈstældʒə] 
scrawl	潦草地写	[skrɔ:l]
flounder	挣扎	 [ˈflaʊndə(r)] 
inexplicable 	无法解释的	[ˌɪnɪkˈsplɪkəbl]
emphasis	强调	 [ˈemfəsɪs] 
archaic	古色古香的	[ɑ:ˈkeɪɪk] 
genius	天才	 [ˈdʒi:niəs] 
genial 	和蔼的	[ˈdʒi:niəl] 
stereotype	陈规旧习	 [ˈsteriətaɪp]
aggravate	激怒	 [ˈægrəveɪt]
adamant	牢不可破的	 [ˈædəmənt] 
perfunctory	敷衍的	[pəˈfʌŋktəri]
partiality	偏袒	 [ˌpɑ:ʃiˈæləti] 
huddle	蜷缩	 [ˈhʌdl]
levity	欠考虑	 [ˈlevəti] 
ubiquitous	普遍存在的	 [ju:ˈbɪkwɪtəs] 
eligible	合适的	 [ˈelɪdʒəbl] 
decimate	大批杀害	[ˈdesɪmeɪt] 
outreach	拓广	 [ˈaʊtri:tʃ] 
legalize	使合法化	 [ˈli:gəlaɪz] 
heady	顽固的，（酒等）易使人醉的	 [ˈhedi]
fuzzy 	模糊的，毛茸茸的	 [ˈfʌzi] 
lament	哀悼	 [ləˈment] 
bulky	体积大的	 [ˈbʌlki]
baffle	挡板，使迷惑	 [ˈbæfl]
witch	女巫	女巫
bewitch	入迷	[bɪˈwɪtʃ]
inarticulate	不善辞令的	 [ˌɪnɑ:ˈtɪkjələt] 
nudge	轻推	 [nʌdʒ]
glaze	釉料，变得光滑	 [gleɪz] 
negotiable	可协商的	 [nɪˈgəʊʃiəbl] 
fervo(u)r	热情	[ˌfɜ:və] 
gratuitous	免费的	 [grəˈtju:ɪtəs] 
scupper	水性杨花的女人，水沟	 [ˈskʌpə(r)]
vogue	时髦的	 [vəʊg]
pervert	使堕落	 [pəˈvɜ:t]
estrange	使疏远	[ɪs'treɪndʒ]
abdicate 	放弃	 [ˈæbdɪkeɪt] 
sully	破坏名声	 [ˈsʌli] 
prod	刺激	 [prɒd] 
convoy	护送	 [ˈkɒnvɔɪ] 
hubbub	嘈杂的说话声	 [ˈhʌbʌb] 
persist 	继续存在	[pəˈsɪst]
boot	长靴	 [bu:t] 
bootleg	非法制造或贩卖	 [ˈbu:tleg] 
mimic	模仿	 [ˈmɪmɪk] 
exacerbate	使恶化	[ɪgˈzæsəbeɪt] 
dull	钝的	 [dʌl]
esoteric	秘传的	 [ˌesəˈterɪk]
babble	含糊不清的话	 [ˈbæbl] 
spar	试击	 [spɑ:(r)] 
grumpy	脾气暴躁的	 [ˈgrʌmpi]
secretive 	守口如瓶的	 [ˈsi:krətɪv] 
histrionic	做作的	 [ˌhɪstriˈɒnɪk] 
tilt	倾斜	 [tɪlt] 
eschew	回避	[ɪsˈtʃu:] 
gesticulate	做手势	 [dʒeˈstɪkjuleɪt]
juvenile 	少年的	[ˈdʒu:vənaɪl]
mirage	海市蜃楼	 [ˈmɪrɑ:ʒ] 
demean	使降低身份	[dɪˈmi:n]
wince	畏缩	[wɪns]
appraise 	估价	 [əˈpreɪz]
befit	适合于	[bɪˈfɪt] 
nonchalant	漠不关心的	 [ˈnɒnʃələnt] 
cryptic	有隐含意义的,神秘的	[ˈkrɪptɪk]
mitigate 	使减轻	[ˈmɪtɪgeɪt] 
torrid	炎热的	 [ˈtɒrɪd] 
impregnate	使饱和，使怀孕	 [ˈɪmpregneɪt] 
reparation 	修理	 [ˌrepəˈreɪʃn] 
mandatory	强制的	 [ˈmændətəri] 
evict	依法驱逐	 [ɪˈvɪkt] 
ostentatious	好夸耀的	 [ˌɒstenˈteɪʃəs] 
autograph	亲笔签名	 [ˈɔ:təgrɑ:f] 
satiate	充分满足，使厌腻	 [ˈseɪʃieɪt] 
understudy	替角	[ˈʌndəstʌdi] 
edgy	易激动的	 [ˈedʒi] 
suffice 	满足…的需要	 [səˈfaɪs] 
froth	口边白沫，无关紧要的小事	 [frɒθ]
woe	悲哀	 [wəʊ] 
harp	唠叨，弹竖琴	[hɑ:p]
conjure	施魔法	[ˈkʌndʒə(r)] 
infirm 	体弱的	 [ɪnˈfɜ:m]
fugitive	逃亡的	 [ˈfju:dʒətɪv] 
seminate	散布	 ['semɪneɪt] 
disseminate	散布	 [dɪˈsemɪneɪt] 
maniac	疯子	 [ˈmeɪniæk]
crave 	渴望	[kreɪv] 
speculate 	推测	 [ˈspekjuleɪt] 
lucrative	赚钱的	 [ˈlu:krətɪv]
airborne	空运的	 [ˈeəbɔ:n]
proportion 	比率	[prəˈpɔ:ʃn]
chivalry	骑士制度	 [ˈʃɪvəlri] 
conscript	被征入伍者	 [kənˈskrɪpt]
disposal 	处置	 [dɪˈspəʊzl] 
profess	宣称	 [prəˈfes]
impious	不虔诚的	 [ˈɪmpiəs] 
rinse	漂洗	 [rɪns] 
entrust	委托	 [ɪnˈtrʌst] 
hallucinate	使产生幻觉	 [həˈlu:sɪneɪt] 
amicable	友善的	 [ˈæmɪkəbl] 
invidious	激起怨恨的	 [ɪnˈvɪdiəs]
candid	率直的	 [ˈkændɪd] 
avenge	为…复仇	 [əˈvendʒ]
vitalize	赋予生命	 ['vaɪtəlaɪz]
facile	轻率作出的	 [ˈfæsaɪl] 
quaint	离奇有趣的	[kweɪnt]
despoil	掠夺	 [dɪˈspɔɪl] 
maim	使残废	 [meɪm]
penalize	对…予以惩罚	 [ˈpi:nəlaɪz] 
imperil	使陷于危险	 [ɪmˈperəl]
solace	安慰	[ˈsɒləs]
trundle	滚动	 [ˈtrʌndl] 
extrapolate	推断	[ɪkˈstræpəleɪt]
electrocute	触电致死	 [ɪˈlektrəkju:t] 
interminable	冗长的	 [ɪnˈtɜ:mɪnəbl]
mastermind	策划者	 [ˈmɑ:stəmaɪnd] 
thereto	此外	[ˌðeəˈtu:]
cyclic(al)	周期的	 [ˈsaɪklɪk] 
notoriety	臭名昭著	 [ˌnəʊtəˈraɪəti]
abound	非常多	 [əˈbaʊnd] 
permeate	渗透	 [ˈpɜ:mieɪt] 
haphazard	偶然的	 [hæpˈhæzəd] 
rejuvenate	变年轻	 [rɪˈdʒu:vəneɪt] 
diverge	分歧	 [daɪˈvɜ:dʒ]
flunk	不及格	 [flʌŋk] 
impede	阻碍	[ɪmˈpi:d]
horrid	恐怖的	 [ˈhɒrɪd] 
usurp	篡夺	 [ju:ˈzɜ:p]
veer	使改变方向	 [vɪə(r)] 
redolent	有强烈气味的;使人联想或回想起某事物的	 [ˈredələnt] 
obscenity	淫秽	 [əbˈsenəti] 
filial	子女的	 [ˈfɪliəl]
exonerate	免罪	[ɪgˈzɒnəreɪt] 
straggle	落后	 [ˈstrægl] 
lethal	致命的	 [ˈli:θl] 
intoxicate	使陶醉	[ɪn'tɒksɪkeɪt] 
antagonize	对…起反作用，中和	[ænˈtægənaɪz] 
ominous	不祥的	 [ˈɒmɪnəs]
pace	一步，怀着对…的敬意	 [peɪs] 
crunch	嘎吱嘎吱地咀嚼	[krʌntʃ]
adverse	相反的，不利的	 [ˈædvɜ:s]
conversant	熟悉的	[kənˈvɜ:snt]
wilt	枯萎	 [wɪlt] 
sympathy	同情	[ˈsɪmpəθi] 
pathologic(al)	病理的	 [ˌpæθə'lɒdʒɪk] 
flavor	给…调味	 ['fleɪvə] 
cardinal	基本的，大红色，红衣主教	[ˈkɑ:dɪnl]
juxtapose	把…并列	[ˌdʒʌkstəˈpəʊz] 
heretofore	在此以前	[ˌhɪətuˈfɔ:(r)] 
relapse	复发	 [rɪˈlæps] 
obsolete	废弃的	[ˈɒbsəli:t]
relent	动怜悯心	 [rɪˈlent] 
amalgamate	混合	 [əˈmælgəmeɪt] 
disjointed	不连贯的	 [dɪsˈdʒɔɪntɪd] 
crooked	弯曲的，不正当的	[ˈkrʊkɪd] 
dexterity	聪敏	[dekˈsterəti] 
imbue	使感染	 [ɪmˈbju:]
overt	公开的	[əʊˈvɜ:t] 
dither	颤抖	[ˈdɪðə(r)] 
spire	塔尖	[ˈspaɪə(r)]
transpire	使蒸发，使排出	[trænˈspaɪə(r)] 
introspection	反省	 [ˌɪntrəˈspekʃn] 
downstream	在下游方向的	[ˌdaʊnˈstri:m] 
pamper	娇惯	 [ˈpæmpə(r)] 
brevity	简洁	 [ˈbrevəti] 
incapacitate	使不适合	 [ˌɪnkəˈpæsɪteɪt]
accrue	积累	 [əˈkru:] 
glum	闷闷不乐的	[glʌm] 
irritant	有刺激性的，使无效的	 [ˈɪrɪtənt] 
animosity	憎恨	 [ˌænɪˈmɒsəti] 
perpetrate	犯（罪）	[ˈpɜ:pətreɪt]
falsity	虚假	 [ˈfɔ:lsəti] 
blemish	瑕疵	 [ˈblemɪʃ] 
surcharge	超载，附加费	 [ˈsɜ:tʃɑ:dʒ]
smear	弄脏	[smɪə(r)] 
juggle	玩杂耍，欺骗	 [ˈdʒʌgl] 
monumental	不朽的	 [ˌmɒnjuˈmentl] 
immaterial	非物质的	[ˌɪməˈtɪəriəl] 
enliven	使生动	 [ɪnˈlaɪvn] 
flimsy	薄弱的	 [ˈflɪmzi] 
phenomenal	显著的	[fəˈnɒmɪnl] 
